Record	Type	Sample Name	Measurement Date and Time	T	ZP	Mob	Cond
51	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 50uM 05 11 24 1	05 November 2024 16:51:33	25.0	-3.58	-0.2848	13.2
52	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 50uM 05 11 24 2	05 November 2024 16:54:29	25.0	-2.59	-0.2062	13.8
53	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 50uM 05 11 24 3	05 November 2024 16:56:57	25.0	-4.66	-0.3710	14.8

Record	Type	Sample Name	Measurement Date and Time	T	ZP	Mob	Cond
 		 	 	Â°C	mV	Âµmcm/Vs	mS/cm
6	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 10uM 07 11 24 1	07 November 2024 10:26:34	25.0	-9.08	-0.7220	13.0
7	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 10uM 07 11 24 2	07 November 2024 10:29:19	25.0	-8.78	-0.6983	13.5
8	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 10uM 07 11 24 3	07 November 2024 10:30:14	25.0	-9.88	-0.7860	14.0
14	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 5uM 07 11 24 1	07 November 2024 10:53:47	25.0	-2.86	-0.2279	13.1
15	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 5uM 07 11 24 2	07 November 2024 10:57:05	25.0	-4.31	-0.3430	14.0
16	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 5uM 07 11 24 3	07 November 2024 10:57:58	25.0	-4.31	-0.3431	14.4
21	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 100uM 07 11 24 1	07 November 2024 11:23:04	25.0	9.92	0.7889	12.9
22	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 100uM 07 11 24 2	07 November 2024 11:25:49	25.0	9.94	0.7908	13.3
23	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 100uM 07 11 24 3	07 November 2024 11:26:45	25.0	7.61	0.6056	14.0
29	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 200uM 07 11 24 1	07 November 2024 15:54:46	25.0	-7.79	-0.6193	12.7
30	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 200uM 07 11 24 2	07 November 2024 15:57:53	25.0	-8.63	-0.6863	13.4
31	Zeta	DOPC:PI 9:1 Surfactant(C12E6):Lipid 1:1 31EX 200uM 07 11 24 3	07 November 2024 15:58:39	25.0	-8.82	-0.7019	13.7
37	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 200uM 07 11 24 1	07 November 2024 16:24:36	25.0	17.1	1.358	13.2
38	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 200uM 07 11 24 2	07 November 2024 16:27:17	25.0	16.4	1.305	13.6
39	Zeta	DOPC:PI 9:1 Surfactant(C12BAC):Lipid 1:1 31EX 200uM 07 11 24 3	07 November 2024 16:28:19	25.0	17.4	1.387	14.2

